model,variant,event_index,stage,trigger_pos,trigger_layer,from_node,to_node,bind_kind,bind_bytes_or_ops,t_bind_ms,t_cmd_ack_ms,t_cmd_to_apply_ms,t_total_controlled_ms,apply_seen,apply_line,node4_work_line,root_exit,post_recovery_tokens_s,avg_pred_ms_after_apply,output_dir
3B,with_pointer_swizzling,1,1,16,11,4,3,pointer_swizzling,896,0.0011920928955078125,42.64998435974121,4856.38427734375,4899.034261703491,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=1 layer=11 pos=16 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=1 layer=11 pos=16 kvHeads=2 qHeads=6 ffnDim=2720 reason=legacy,0,0.8293449902379184,1205.7708333333333,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/with_pointer_swizzling
3B,with_pointer_swizzling,2,1,32,11,4,5,pointer_swizzling,896,0.001430511474609375,58.00366401672363,4904.202222824097,4962.20588684082,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=2 layer=11 pos=32 kind=head headMove=1 ffnMove=0 from=4 to=5 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=2 layer=11 pos=32 kvHeads=1 qHeads=3 ffnDim=2720 reason=legacy,0,0.8293449902379184,1205.7708333333333,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/with_pointer_swizzling
3B,with_pointer_swizzling,3,1,48,11,4,3,pointer_swizzling,896,0.00095367431640625,51.90610885620117,5312.572240829468,5364.478349685669,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=3 layer=11 pos=48 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=3 layer=11 pos=48 kvHeads=0 qHeads=0 ffnDim=2720 reason=legacy,0,0.8293449902379184,1205.7708333333333,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/with_pointer_swizzling
3B,without_pointer_operator_rebind,1,1,16,11,4,3,operator_rebind,71680,2300.055,52.1397590637207,3279.561758041382,5631.756517105103,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=1 layer=11 pos=16 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=1 layer=11 pos=16 kvHeads=2 qHeads=6 ffnDim=2720 reason=legacy,0,1.2855535915153462,777.875,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/without_pointer_operator_rebind
3B,without_pointer_operator_rebind,2,1,32,11,4,5,operator_rebind,71680,6090.189,52.32977867126465,2897.0136642456055,9039.53244291687,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=2 layer=11 pos=32 kind=head headMove=1 ffnMove=0 from=4 to=5 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=2 layer=11 pos=32 kvHeads=1 qHeads=3 ffnDim=2720 reason=legacy,0,1.2855535915153462,777.875,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/without_pointer_operator_rebind
3B,without_pointer_operator_rebind,3,1,48,11,4,3,operator_rebind,71680,2763.595,52.89912223815918,3244.678020477295,6061.172142715453,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=3 layer=11 pos=48 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=3 layer=11 pos=48 kvHeads=0 qHeads=0 ffnDim=2720 reason=legacy,0,1.2855535915153462,777.875,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/without_pointer_operator_rebind
3B,without_pointer_weight_rebind,1,1,16,11,4,3,weight_materialize,18874368,32.484,53.43008041381836,4852.158069610596,4938.072150024414,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=1 layer=11 pos=16 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=1 layer=11 pos=16 kvHeads=2 qHeads=6 ffnDim=2720 reason=legacy,0,1.0436143844849328,958.2083333333334,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/without_pointer_weight_rebind
3B,without_pointer_weight_rebind,2,1,32,11,4,5,weight_materialize,18874368,92.397,50.03499984741211,4873.474359512329,5015.906359359741,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=2 layer=11 pos=32 kind=head headMove=1 ffnMove=0 from=4 to=5 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=2 layer=11 pos=32 kvHeads=1 qHeads=3 ffnDim=2720 reason=legacy,0,1.0436143844849328,958.2083333333334,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/without_pointer_weight_rebind
3B,without_pointer_weight_rebind,3,1,48,11,4,3,weight_materialize,18874368,32.388,42.638540267944336,4847.408056259155,4922.4345965270995,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=3 layer=11 pos=48 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=3 layer=11 pos=48 kvHeads=0 qHeads=0 ffnDim=2720 reason=legacy,0,1.0436143844849328,958.2083333333334,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/3B/without_pointer_weight_rebind
8B,with_pointer_swizzling,1,1,16,12,4,3,pointer_swizzling,1024,0.0007152557373046875,52.622318267822266,11664.70980644226,11717.332124710083,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=1 layer=12 pos=16 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=1 layer=12 pos=16 kvHeads=2 qHeads=8 ffnDim=4768 reason=legacy,0,0.4377006127808579,2284.6666666666665,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/with_pointer_swizzling
8B,with_pointer_swizzling,2,1,32,12,4,5,pointer_swizzling,1024,0.0007152557373046875,48.798561096191406,10923.686265945435,10972.484827041626,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=2 layer=12 pos=32 kind=head headMove=1 ffnMove=0 from=4 to=5 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=2 layer=12 pos=32 kvHeads=1 qHeads=4 ffnDim=4768 reason=legacy,0,0.4377006127808579,2284.6666666666665,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/with_pointer_swizzling
8B,with_pointer_swizzling,3,1,48,12,4,3,pointer_swizzling,1024,0.0011920928955078125,51.15199089050293,10146.087408065796,10197.239398956299,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=3 layer=12 pos=48 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=3 layer=12 pos=48 kvHeads=0 qHeads=0 ffnDim=4768 reason=legacy,0,0.4377006127808579,2284.6666666666665,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/with_pointer_swizzling
8B,without_pointer_operator_rebind,1,1,16,12,4,3,operator_rebind,81920,2929.06,49.7736930847168,12138.005495071411,15116.839188156127,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=1 layer=12 pos=16 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=1 layer=12 pos=16 kvHeads=2 qHeads=8 ffnDim=4768 reason=legacy,0,0.38937019371167136,2568.25,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/without_pointer_operator_rebind
8B,without_pointer_operator_rebind,2,1,32,12,4,5,operator_rebind,81920,6422.626,46.22197151184082,13354.95376586914,19823.80173738098,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=2 layer=12 pos=32 kind=head headMove=1 ffnMove=0 from=4 to=5 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=2 layer=12 pos=32 kvHeads=1 qHeads=4 ffnDim=4768 reason=legacy,0,0.38937019371167136,2568.25,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/without_pointer_operator_rebind
8B,without_pointer_operator_rebind,3,1,48,12,4,3,operator_rebind,81920,1919.003,43.304443359375,13021.418333053589,14983.725776412964,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=3 layer=12 pos=48 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=3 layer=12 pos=48 kvHeads=0 qHeads=0 ffnDim=4768 reason=legacy,0,0.38937019371167136,2568.25,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/without_pointer_operator_rebind
8B,without_pointer_weight_rebind,1,1,16,12,4,3,weight_materialize,25165824,47.199,53.529977798461914,7306.427478790283,7407.156456588745,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=1 layer=12 pos=16 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=1 layer=12 pos=16 kvHeads=2 qHeads=8 ffnDim=4768 reason=legacy,0,0.5339503426181366,1872.8333333333333,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/without_pointer_weight_rebind
8B,without_pointer_weight_rebind,2,1,32,12,4,5,weight_materialize,25165824,193.771,49.44491386413574,7372.258424758911,7615.474338623047,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=2 layer=12 pos=32 kind=head headMove=1 ffnMove=0 from=4 to=5 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=2 layer=12 pos=32 kvHeads=1 qHeads=4 ffnDim=4768 reason=legacy,0,0.5339503426181366,1872.8333333333333,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/without_pointer_weight_rebind
8B,without_pointer_weight_rebind,3,1,48,12,4,3,weight_materialize,25165824,88.143,52.312612533569336,8598.291397094727,8738.747009628296,True,b01ab_pc_20260526_031516_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=3 layer=12 pos=48 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=4),📊 [plan][work] node=4 stage=1 epoch=3 layer=12 pos=48 kvHeads=0 qHeads=0 ffnDim=4768 reason=legacy,0,0.5339503426181366,1872.8333333333333,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031516/pointer_swizzling_controlled/8B/without_pointer_weight_rebind
